,string,mean,max,min,median,geo_mean,count,n_over_2e-06,ratio_over_2e-06,n_over_4e-06,ratio_over_4e-06,n_over_6e-06,ratio_over_6e-06,n_over_8e-06,ratio_over_8e-06,n_over_9.999999999999999e-06,ratio_over_9.999999999999999e-06,n_over_1.1999999999999999e-05,ratio_over_1.1999999999999999e-05,n_over_1.4e-05,ratio_over_1.4e-05,n_over_1.6e-05,ratio_over_1.6e-05,n_over_1.8e-05,ratio_over_1.8e-05,n_over_2e-05,ratio_over_2e-05
0,<|endoftext|>,1.1087766324635595e-05,1.1087766324635595e-05,1.1087766324635595e-05,1.1087766324635595e-05,1.1087766324635626e-05,80000,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1147,It,1.905472757035921e-06,0.00019387580687180161,3.9510545946086495e-09,9.326532222075912e-07,9.94603554354596e-07,3755,795,0.21171770972037285,159,0.04234354194407457,93,0.024766977363515314,64,0.017043941411451397,53,0.01411451398135819,40,0.010652463382157125,34,0.009054593874833556,28,0.0074567243675099865,26,0.006924101198402131,26,0.006924101198402131
310, is,3.4863717085470122e-06,0.0003781612613238394,4.582919981011013e-12,1.8169306486015557e-06,1.609457416270695e-06,73740,26653,0.3614456197450502,9412,0.127637645782479,4785,0.06489015459723352,2869,0.03890697043666938,2006,0.02720368863574722,1555,0.021087605098996473,1263,0.017127746135069163,1061,0.014388391646324926,916,0.012422023325196636,811,0.010998101437483048
2218, done,2.8650809008668345e-06,0.0001825120998546481,6.59610890352269e-08,1.6352264537999872e-06,1.7807460815301072e-06,1296,458,0.3533950617283951,162,0.125,85,0.06558641975308642,67,0.05169753086419753,42,0.032407407407407406,30,0.023148148148148147,22,0.016975308641975308,16,0.012345679012345678,14,0.010802469135802469,9,0.006944444444444444
13,",",4.841029115351126e-06,0.0005462213302962482,2.2738108271247448e-11,2.369189132878091e-06,2.2177636306933394e-06,309939,142379,0.4593774904094031,64725,0.20883141521396145,36340,0.1172488780050268,24007,0.07745717705742097,17538,0.05658532808068684,13707,0.044224831337779366,11164,0.036019991030493095,9461,0.03052536144209022,7948,0.025643755706768107,6950,0.022423767257428076
285, and,5.591689004024831e-06,0.0009723481489345431,1.0160857615362784e-12,2.9847117275494384e-06,2.9138450935431145e-06,156779,84197,0.5370425886119953,37617,0.2399364710834997,18698,0.11926342175929174,11172,0.0712595436888869,7756,0.049470911282761085,5861,0.03738383329399984,4706,0.03001677520586303,3928,0.025054375904936248,3368,0.021482468953112344,2953,0.018835430765599986
15,.,6.6812264863100355e-06,0.000565745634958148,-1.3645017190797026e-12,1.4849183571641333e-06,,351420,119227,0.33927209606738373,73069,0.2079249900404075,56492,0.16075351431335724,47544,0.1352911046610893,41847,0.11907973365204029,37642,0.10711399465027602,34419,0.09794263274714017,31125,0.08856923339593649,28558,0.08126458368903307,26395,0.07510955551761425
1422, You,2.729174468822151e-06,0.0002502797869965434,1.1502300500954021e-10,8.368691339910583e-07,4.096959162075013e-07,5263,1093,0.2076762302869086,528,0.1003230096902907,344,0.06536196085882577,237,0.045031350940528216,190,0.036101083032490974,171,0.032490974729241874,127,0.02413072392171765,109,0.020710621318639558,89,0.016910507315219456,80,0.01520045601368041
476, can,2.913709438778453e-06,0.0002271380217280239,8.869929790655817e-10,1.713213464427099e-06,1.5273241256095956e-06,18185,6607,0.3633214187517185,1988,0.10932086884795161,1018,0.05598020346439373,702,0.03860324443222436,376,0.020676381633214187,292,0.016057189991751444,248,0.013637613417651911,206,0.011328017596920538,184,0.010118229309870773,169,0.009293373659609569
1132, play,3.967275267423963e-06,0.0002292689896421507,2.8295628062835476e-09,2.681200385268312e-06,2.6622406422960574e-06,1878,1055,0.5617678381256656,445,0.2369542066027689,215,0.11448349307774228,102,0.054313099041533544,67,0.03567625133120341,41,0.021831735889243878,27,0.01437699680511182,21,0.011182108626198083,16,0.008519701810436636,14,0.007454739084132056
