,string,mean,max,min,median,geo_mean,count,n_over_2e-06,ratio_over_2e-06,n_over_4e-06,ratio_over_4e-06,n_over_6e-06,ratio_over_6e-06,n_over_8e-06,ratio_over_8e-06,n_over_9.999999999999999e-06,ratio_over_9.999999999999999e-06,n_over_1.1999999999999999e-05,ratio_over_1.1999999999999999e-05,n_over_1.4e-05,ratio_over_1.4e-05,n_over_1.6e-05,ratio_over_1.6e-05,n_over_1.8e-05,ratio_over_1.8e-05,n_over_2e-05,ratio_over_2e-05
0,<|endoftext|>,9.401753231941257e-06,9.401753231941257e-06,9.401753231941257e-06,9.401753231941257e-06,9.401753231941236e-06,80000,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1147,It,8.51715943118089e-06,0.0020696858409792185,1.2552862083126115e-09,1.5020482919680944e-06,1.592997494865529e-06,3755,1332,0.3547270306258322,309,0.08229027962716379,173,0.04607190412782956,124,0.03302263648468708,96,0.025565912117177098,70,0.018641810918774968,62,0.01651131824234354,53,0.01411451398135819,45,0.011984021304926764,39,0.010386151797603195
310, is,7.918331061527333e-06,0.003387810429558158,8.380726126099025e-13,2.707360863496433e-06,2.49931797390418e-06,73740,39877,0.5407784106319501,18377,0.24921345267154868,9798,0.13287225386493084,6174,0.08372660699755899,4393,0.05957417954976946,3334,0.04521291022511527,2707,0.03671006238133984,2275,0.03085164090046108,1969,0.02670192568483862,1715,0.023257390832655274
2218, done,4.98347981967558e-06,0.00020683194452431053,3.8849267980367586e-07,2.960796223305806e-06,3.284394724472821e-06,1296,871,0.6720679012345679,428,0.33024691358024694,234,0.18055555555555555,143,0.11033950617283951,106,0.08179012345679013,78,0.06018518518518518,56,0.043209876543209874,43,0.033179012345679014,32,0.024691358024691357,29,0.022376543209876542
13,",",9.552438331448201e-06,0.0037863694597035646,3.005098600517009e-11,3.476944129943149e-06,3.39030701218051e-06,309939,184118,0.5940459251659197,105210,0.339453892540145,64320,0.20752470647449983,44158,0.14247319633863437,33146,0.1069436243906059,26324,0.08493284162367433,21788,0.070297703741704,18520,0.059753693468714814,16125,0.052026366478565136,14339,0.04626394225960592
285, and,1.1193381585783446e-05,0.0038388455286622047,4.933352771435695e-12,4.550935727820615e-06,4.610667812453964e-06,156779,103608,0.6608538133295914,67103,0.4280101289075705,38619,0.24632763316515605,23906,0.15248215641125407,16686,0.10643007035381014,12497,0.0797109306731131,9864,0.06291658959426964,8123,0.05181178601725996,6915,0.044106672449754115,6021,0.03840437813737809
15,.,8.417031410987597e-06,0.003100474365055561,-2.2317109098224375e-12,1.8516288946557324e-06,,351420,141972,0.403995219395595,89133,0.2536366740652211,66083,0.18804564338967616,52637,0.1497837345626316,44137,0.12559615275169314,37357,0.10630299926014455,32922,0.0936827727505549,29594,0.08421262307210745,26783,0.07621364748733708,24470,0.06963177963690172
1422, You,5.067351512474612e-06,0.0018674874445423484,4.589306018543127e-11,1.5315408745664172e-06,7.775672487121319e-07,5263,2020,0.38381151434543037,1087,0.20653619608588258,736,0.1398441953258598,592,0.11248337450123504,511,0.09709291278738362,445,0.08455253657609728,397,0.07543226296788903,363,0.06897206916207486,342,0.06498194945848375,325,0.061751852555576664
476, can,9.129501276386875e-06,0.0026404380332678556,2.720013936308163e-10,2.8329717451924807e-06,2.4806499497350656e-06,18185,11161,0.6137475941710201,4904,0.2696728072587297,2513,0.13819081660709376,1592,0.08754467968105581,1179,0.06483365411053066,935,0.05141600219961507,795,0.04371734946384383,525,0.02886994775914215,468,0.025735496288149574,404,0.022216112180368435
1132, play,7.076439487494315e-06,0.0010419320315122604,1.1742336880615767e-07,4.195915153104579e-06,4.34757845858856e-06,1878,1385,0.7374866879659212,833,0.4435569755058573,486,0.25878594249201275,280,0.14909478168264112,198,0.10543130990415335,139,0.07401490947816826,110,0.058572949946751864,85,0.045260915867944625,69,0.036741214057507986,63,0.03354632587859425
