,string,mean,max,min,median,geo_mean,count,n_over_2e-06,ratio_over_2e-06,n_over_4e-06,ratio_over_4e-06,n_over_6e-06,ratio_over_6e-06,n_over_8e-06,ratio_over_8e-06,n_over_9.999999999999999e-06,ratio_over_9.999999999999999e-06,n_over_1.1999999999999999e-05,ratio_over_1.1999999999999999e-05,n_over_1.4e-05,ratio_over_1.4e-05,n_over_1.6e-05,ratio_over_1.6e-05,n_over_1.8e-05,ratio_over_1.8e-05,n_over_2e-05,ratio_over_2e-05
0,<|endoftext|>,1.8507662389311008e-05,1.8507662389311008e-05,1.8507662389311008e-05,1.8507662389311008e-05,1.8507662389311076e-05,80000,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,0,0.0
1147,It,3.5461930258074075e-06,0.0001076649859896861,1.6859640794564257e-08,1.6469676893393626e-06,1.9718735606943052e-06,3755,1413,0.3762982689747004,690,0.18375499334221038,566,0.15073235685752331,504,0.13422103861517976,105,0.02796271637816245,98,0.026098535286284953,76,0.020239680426098534,70,0.018641810918774968,63,0.01677762982689747,61,0.016245006657789614
310, is,6.546658437112853e-06,0.003426027949899435,-1.0379522762116178e-12,3.005503003805643e-06,,73740,43559,0.5907106048277733,20442,0.2772172497965826,10755,0.14585028478437753,6549,0.0888120423108218,4682,0.06349335503119068,3529,0.04785733658801193,2852,0.03867643070246813,2397,0.032506102522375915,2102,0.0285055600759425,1836,0.024898291293734744
2218, done,5.343344959182705e-06,0.0002497889508958906,1.8552198355337168e-07,3.6892917023578775e-06,3.801841943473276e-06,1296,1024,0.7901234567901234,527,0.4066358024691358,241,0.18595679012345678,143,0.11033950617283951,81,0.0625,58,0.044753086419753084,41,0.031635802469135804,31,0.023919753086419752,27,0.020833333333333332,23,0.017746913580246913
13,",",7.691626350163822e-06,0.003080671653151512,1.2143010555409894e-11,3.912895408575423e-06,3.7366077579567597e-06,309939,200852,0.6480371944156753,118836,0.383417382130032,70168,0.22639293538405944,46435,0.14981980325160757,33819,0.10911501940704461,26285,0.08480701041172618,21265,0.0686102749250659,17816,0.05748227877098397,15354,0.04953878021159002,13366,0.04312461484356599
285, and,1.0789715677655562e-05,0.003803975647315383,1.9581600230189622e-11,5.002077386961901e-06,5.206619879093334e-06,156779,107877,0.6880832254319775,74842,0.4773726073007227,44242,0.2821934060046307,28438,0.18138908909994322,20125,0.12836540608117158,15414,0.09831673884895298,12425,0.07925168549359289,10379,0.06620146830889341,8872,0.05658921156532444,7744,0.04939437041950771
15,.,7.923864658518093e-06,0.003604784607887268,-2.4475686234703975e-12,2.321661440873868e-06,,351420,167717,0.4772551363041375,99504,0.28314836947242616,77044,0.21923624153434637,64613,0.18386261453531386,55737,0.15860508792897388,48190,0.13712936087872063,41657,0.11853907005861931,36465,0.10376472596892607,32202,0.0916339422912754,28549,0.08123897330829208
1422, You,4.8866054055709535e-06,0.00026368838734924793,6.467805457877063e-11,1.7148475421890907e-06,7.133043176798483e-07,5263,2138,0.406232186965609,1091,0.2072962188865666,720,0.1368041041231237,483,0.09177275318259548,361,0.06859205776173286,295,0.056051681550446514,253,0.048071442143264295,214,0.0406612198365951,191,0.03629108873266198,170,0.03230096902907087
476, can,6.4832477974616834e-06,0.001474454766139388,1.0768346631051529e-10,3.582138333513285e-06,2.810116485523225e-06,18185,12672,0.6968380533406654,6883,0.3784987627165246,3538,0.19455595270827605,2148,0.11811932911740446,1509,0.08298047841627715,1122,0.061699202639538084,891,0.04899642562551553,740,0.040692878746219414,621,0.034149023920813856,516,0.028375034368985426
1132, play,6.715845079884763e-06,0.0003877455019392073,4.1547600915237126e-08,4.778067705046851e-06,4.891206712034849e-06,1878,1465,0.7800851970181044,983,0.5234291799787008,546,0.29073482428115016,334,0.17784877529286475,215,0.11448349307774228,147,0.07827476038338659,109,0.058040468583599576,81,0.04313099041533546,62,0.03301384451544196,54,0.02875399361022364
773, “,4.603503943141133e-06,6.881300214445218e-05,1.0107439329942736e-09,3.4285253605048638e-06,3.5912932506310867e-06,9241,5073,0.5489665620603831,2432,0.2631749810626556,1121,0.1213072178335678,649,0.07023049453522347,432,0.04674818742560329,297,0.03213937885510226,226,0.024456227680986906,163,0.01763878368141976,118,0.012769180824586083,97,0.010496699491397034
273, of,8.54657543064381e-06,0.0016214970964938402,6.989855916295085e-11,5.203073669690639e-06,4.675927708761036e-06,162805,112392,0.6903473480544209,81811,0.5025091366972759,54230,0.333097877829305,36756,0.22576702189736186,26477,0.1626301403519548,20197,0.12405638647461688,16134,0.09910015048677866,13312,0.08176653051196216,11346,0.06969073431405669,9794,0.06015785755965726
