,r,p
0,0.0013844171,0.07482815
1,0.0031160044,6.0796738e-05
2,0.0013029164,0.09361327
3,0.0017778525,0.022148848
4,0.0012959347,0.09538448
5,0.011611966,0.0
6,0.0011637806,0.13423896
7,0.00064739503,0.40479398
8,0.00013712478,0.85993505
9,-9.262478e-06,0.9904901
10,0.0030606247,8.201599e-05
11,-0.00038405097,0.6211579
12,0.0031161064,6.067753e-05
13,0.0012492485,0.10792804
14,0.0035080346,6.3180923e-06
15,-0.005141046,0.0
16,0.009280247,0.0
17,0.0030657572,7.9751015e-05
18,0.022394963,0.0
19,0.0017447273,0.02475679
20,0.0027755194,0.00035476685
21,0.0006081466,0.4338715
22,0.0002587128,0.7391944
23,-0.0005252446,0.49910247
24,0.00051990204,0.50347793
25,0.0006100968,0.4323988
26,0.0042409264,1.1920929e-07
27,0.011950584,0.0
28,0.00083468825,0.2827754
29,0.00019421305,0.80264926
30,-0.0016114443,0.038110495
31,-0.001886997,0.015171766
32,-6.003061e-05,0.93842506
33,0.00051461475,0.5078279
34,0.0010177526,0.1903044
35,0.0028888364,0.00020122528
36,0.0024615626,0.0015368462
37,-0.017675184,0.0
38,-0.0038992313,4.7683716e-07
39,-0.004036695,2.3841858e-07
40,0.005915558,0.0
41,0.0062269126,0.0
42,0.00031754325,0.6828146
43,0.0,1.0
44,0.0006728679,0.38656187
45,0.0062993276,0.0
46,-0.0004747525,0.5412475
47,8.8061504e-05,0.90977645
48,0.0016769714,0.03092885
49,-0.00025580017,0.7420254
50,0.00085311674,0.27228308
51,0.000115855655,0.881485
52,0.001003422,0.19662118
53,0.00021635246,0.7806978
54,-0.0013147714,0.090666294
55,6.750808e-05,0.9307735
56,0.004282443,1.1920929e-07
57,-0.00027317315,0.72519195
58,0.00081158,0.29631472
59,0.00081637176,0.29347205
60,-0.00028034524,0.71828055
61,0.014488216,0.0
62,-0.0043800687,1.1920929e-07
63,0.0040096194,2.3841858e-07
64,0.00028172488,0.71695375
65,0.000107590335,0.889884
66,-0.0024272425,0.0017874241
67,-1.0205373e-05,0.989522
68,-0.0015762568,0.04252124
69,0.0048188604,0.0
70,-0.0014383313,0.064184666
71,0.0018551083,0.016976357
72,0.0047544213,0.0
73,6.0272905e-05,0.9381771
74,0.00018971621,0.8071276
75,-0.0004194368,0.5893724
76,0.0,1.0
77,0.0006446489,0.40678978
78,0.015934644,0.0
79,0.00010343059,0.8941158
80,0.0006640157,0.39284027
81,-0.0017058308,0.02815473
82,-0.0008084,0.29821134
83,0.0021735842,0.0051572323
84,0.00068572024,0.3775562
85,-0.00045777243,0.5558095
86,0.0019429817,0.012408853
87,-0.00117516,0.13047361
88,-0.00068748934,0.3763268
89,-0.00054262,0.48501337
90,0.00034308658,0.65885425
91,0.0018736671,0.015904427
92,0.0010851308,0.16259897
93,-0.0007627501,0.32632995
94,0.003317111,1.9550323e-05
95,-0.0038849493,7.1525574e-07
96,0.0008148689,0.2943616
97,-0.0001112538,0.88615966
98,0.0021126156,0.006556034
99,0.0012585743,0.105323315
100,0.016254876,0.0
101,0.0005605007,0.47074246
102,-0.0025601888,0.0009858608
103,0.0009115036,0.24081421
104,-0.0053833644,0.0
105,1.99327e-05,0.9795364
106,-0.003478474,7.6293945e-06
107,0.001461233,0.060058355
108,-0.0025550628,0.0010092258
109,-0.0005771667,0.45765257
110,0.002704522,0.00050091743
111,0.0015544838,0.04546094
112,1.1258701e-05,0.98844063
113,6.0710045e-05,0.9377296
114,-0.0039243815,4.7683716e-07
115,0.001044537,0.17890108
116,0.0028433441,0.00025320053
117,0.009429713,0.0
118,5.8926953e-06,0.9939498
119,0.0011831014,0.12789488
120,-0.00049622916,0.5231062
121,0.00025615378,0.7416816
122,0.00048958964,0.52868104
123,0.0013040013,0.0933404
124,-0.00011414513,0.8832221
125,0.0005535305,0.47627783
126,0.00085275236,0.27248788
127,0.00070217985,0.36621344
128,0.008176679,0.0
129,0.0006359361,0.41316056
130,-0.0007833445,0.31343794
131,0.0051202457,0.0
132,0.0010438139,0.17920208
133,-0.00033349372,0.6678133
134,4.2026568e-05,0.95687044
135,0.00020811651,0.78884447
136,-0.0015864468,0.04120159
137,0.0032063113,3.695488e-05
138,-0.0013223063,0.08883226
139,0.0,1.0
140,0.0,1.0
141,-0.002816,0.00029039383
142,-0.00069791166,0.3691342
143,0.0064207455,0.0
144,-0.0014484755,0.062328815
145,-0.000103201935,0.8943486
146,0.0020491795,0.008365154
147,-0.00015954094,0.8373356
148,-0.00033629278,0.6651943
149,0.0020612096,0.0079910755
150,0.00029369426,0.7054783
151,0.004194234,2.3841858e-07
152,0.001777762,0.022155762
153,0.014409678,0.0
154,0.006611479,0.0
155,0.0,1.0
156,0.001025977,0.18674731
157,0.00053171976,0.49382675
158,-0.0008375071,0.28115296
159,0.002361493,0.0023747683
160,-0.00017521642,0.8216102
161,-0.0009559231,0.21865427
162,-0.00020081684,0.7960844
163,-0.0009316378,0.23058105
164,-0.0010578777,0.17341459
165,0.0015699976,0.043349266
166,-0.0009637231,0.21491933
167,-0.00020677871,0.79016995
168,0.00021991307,0.7771833
169,0.0025365616,0.0010980368
170,0.0015161685,0.051050186
171,0.018830787,0.0
172,-0.0024217006,0.0018312931
173,0.0034086842,1.1444092e-05
174,0.0020305878,0.0089741945
175,0.0006686757,0.38952756
176,0.0013323857,0.08642578
177,0.008235799,0.0
178,0.0013212496,0.089087725
179,-0.0037545476,1.3113022e-06
180,0.026608823,0.0
181,0.0022169275,0.0043332577
182,0.0030067917,0.00010919571
183,-0.0003589984,0.64410186
184,-0.0010564802,0.17398334
185,0.0045314757,0.0
186,9.103068e-05,0.90674806
187,-0.001165871,0.1335411
188,0.003777372,1.1920929e-06
189,0.0023867702,0.0021307468
190,-0.00027189607,0.72642493
191,0.0011975482,0.12330544
192,-0.0010378541,0.18169749
193,0.00035488696,0.6479006
194,0.004032179,2.3841858e-07
195,0.0012025649,0.12174225
196,0.0,1.0
197,-0.0013055144,0.09296095
198,-0.00075605384,0.33059502
199,0.003586473,3.8146973e-06
200,0.0009799406,0.20730126
201,-0.00015098591,0.84594584
202,0.000107451546,0.89002514
203,0.00062364346,0.42224896
204,-0.02575098,0.0
205,0.0003118052,0.6882423
206,-2.6846503e-05,0.97244096
207,-0.00014538385,0.8515941
208,0.011621666,0.0
209,-0.007291919,0.0
210,0.0034480316,9.059906e-06
211,0.0020742484,0.0076026917
212,-0.00015901722,0.83786213
213,0.0009194231,0.23675168
214,0.00053402904,0.49195242
215,0.0025177938,0.0011954308
216,0.0040492215,2.3841858e-07
217,0.001483805,0.056209087
218,-6.224354e-06,0.9936092
219,0.0011159615,0.15098584
220,7.0601185e-05,0.92761016
221,-0.0016912227,0.029531002
222,0.0012480061,0.10827899
223,0.0010731374,0.16729426
224,-0.0007110055,0.36021996
225,0.0017477203,0.024510622
226,-5.0889994e-05,0.94778633
227,0.00090347684,0.24498177
228,0.0009226293,0.23512077
229,0.00039916442,0.6074908
230,-0.000557558,0.47307515
231,0.0067030136,0.0
232,-0.0051527815,0.0
233,-0.0015515187,0.045874238
234,-0.009554513,0.0
235,0.00091466744,0.23918545
236,0.0,1.0
237,0.009346505,0.0
238,0.001672167,0.03141284
239,0.003838189,7.1525574e-07
240,-0.0014379626,0.06425297
241,0.0010563615,0.17403173
242,-0.00093046686,0.23116767
243,0.000105689964,0.891817
244,-0.017861525,0.0
245,-0.0012900988,0.09688556
246,3.8620106e-05,0.96036327
247,-0.0011746736,0.130633
248,-0.0004419145,0.5695796
249,0.012686193,0.0
250,-0.0005327196,0.4930148
251,-0.0001914144,0.80543566
252,0.0006575241,0.39748335
253,-0.0002558901,0.741938
254,0.00827378,0.0
255,0.0016855106,0.03008461
256,-0.0006507831,0.4023397
257,0.0014450757,0.06294584
258,0.020720398,0.0
259,0.0,1.0
260,0.0014389515,0.06406999
261,0.0009298167,0.23149371
262,0.0002217843,0.77533805
263,0.0016722463,0.031404734
264,0.00043429635,0.5762522
265,0.001366332,0.078706026
266,0.0,1.0
267,0.0,1.0
268,0.0007238234,0.35162568
269,0.006317835,0.0
270,0.0016673385,0.03190565
271,-0.0023133524,0.002911687
272,-0.0007644051,0.32528138
273,0.0022652447,0.0035569668
274,-0.0015987325,0.039656878
275,0.0013807567,0.07560015
276,0.00017628889,0.82053685
277,0.002989198,0.00011968613
278,-0.00011382754,0.8835447
279,-0.0012876677,0.0975163
280,-0.0025474855,0.0010447502
281,0.0,1.0
282,0.0026969044,0.0005196333
283,0.0028595105,0.00023341179
284,0.0004012176,0.60564446
285,0.0013107422,0.09165931
286,0.0014182695,0.06798911
287,-9.8984456e-05,0.8986423
288,0.012187812,0.0
289,-0.00012407567,0.8731451
290,0.0030985607,6.67572e-05
291,0.0027442703,0.0004132986
292,0.0011657773,0.13357234
293,-0.00014265995,0.8543432
294,0.00010240457,0.8951601
295,0.0028309913,0.000269413
296,0.0017019793,0.02851212
297,0.00047313844,0.5426234
298,0.001154364,0.1374178
299,-0.0016193388,0.03717625
300,0.0027462791,0.0004092455
301,-0.009839767,0.0
302,-0.00049779075,0.52179945
303,0.003499617,6.67572e-06
304,0.0010396804,0.18093014
305,-0.0053828456,0.0
306,0.00013022129,0.86691904
307,-0.0019514243,0.0120334625
308,-0.0034030867,1.1920929e-05
309,0.0018420725,0.017766714
310,-0.00071109645,0.36015856
311,2.9415314e-05,0.96980524
312,0.001228408,0.11393356
313,0.0003315753,0.6696106
314,0.00034764348,0.6546155
315,-0.0012668052,0.10306585
316,0.0016050953,0.038876295
317,0.0014747031,0.0577358
318,0.000629624,0.41781282
319,0.0027666956,0.00037050247
320,-0.0017484286,0.024452686
