,r,p
0,0.0021578057,0.0054906607
1,-0.0022508581,0.0037736893
2,0.014244668,0.0
3,0.0023447848,0.0025498867
4,0.0,1.0
5,0.0058515924,0.0
6,-0.003438919,9.536743e-06
7,0.0018861347,0.015218139
8,3.9848687e-06,0.9959086
9,0.0,1.0
10,-0.00026546334,0.73264647
11,-0.002065496,0.007861614
12,0.0008821093,0.25632143
13,0.0,1.0
14,0.00066977675,0.38874722
15,0.0,1.0
16,0.0,1.0
17,0.0009837949,0.20551991
18,0.0,1.0
19,-0.0019226383,0.013356566
20,0.00014277665,0.8542254
21,-0.0005071562,0.51399755
22,0.0,1.0
23,0.00226447,0.0035684109
24,0.0024319056,0.0017513037
25,-0.0009826389,0.20605302
26,0.009647918,0.0
27,0.0016502913,0.033699155
28,0.0,1.0
29,0.0017794862,0.022026777
30,0.009329773,0.0
31,0.0018212623,0.019095182
32,0.0,1.0
33,-0.0014269435,0.06632209
34,0.004075251,2.3841858e-07
35,0.0022628389,0.003592372
36,0.0,1.0
37,0.002881877,0.00020837784
38,0.0011267056,0.14709091
39,0.0054623405,0.0
40,0.00071691896,0.35623884
41,-0.000989337,0.20297813
42,0.006505646,0.0
43,0.0003397278,0.66198564
44,0.0,1.0
45,0.0,1.0
46,0.000204581,0.79234886
47,0.0003791656,0.62560415
48,0.016828507,0.0
49,0.0015226486,0.050066352
50,0.00029464366,0.704571
51,0.0,1.0
52,0.0,1.0
53,0.00017022887,0.82660615
54,-1.2408725e-05,0.98726
55,0.00033285987,0.66840696
56,0.0,1.0
57,0.0005415857,0.48584604
58,0.0024037268,0.0019800663
59,0.0016019874,0.039255857
60,0.00263688,0.0006906986
61,-0.00013251284,0.8645996
62,0.0024686307,0.0014896393
63,0.0008665639,0.2647972
64,0.0,1.0
65,0.0,1.0
66,0.0032808676,2.4199486e-05
67,0.0059137684,0.0
68,0.00068486045,0.37815452
69,0.0072551044,0.0
70,-0.0010159749,0.19107985
71,-0.00071349496,0.35854053
72,0.0011061373,0.15461576
73,-0.00041085327,0.5970135
74,-2.4552333e-05,0.9747952
75,0.002827653,0.00027394295
76,0.0155031,0.0
77,-0.00016250617,0.8343557
78,0.0,1.0
79,0.0,1.0
80,-0.0005704491,0.46290398
81,0.006483471,0.0
82,0.0030069177,0.0001090765
83,-0.0005557785,0.47448874
84,-0.0006680393,0.3899789
85,0.0058148913,0.0
86,0.0008101242,0.29718184
87,0.0038520645,7.1525574e-07
88,-0.0022133067,0.004397273
89,-0.0023638657,0.0023508072
90,-0.000416698,0.5918057
91,2.2391703e-05,0.97701263
92,-0.00018279083,0.81403685
93,0.0005097762,0.5118258
94,0.010156876,0.0
95,0.0026137254,0.0007697344
96,0.0019759582,0.010998964
97,0.0,1.0
98,0.0011789623,0.12923408
99,0.004990517,0.0
100,0.0020219511,0.00927031
101,0.0014423743,0.06343961
102,0.0,1.0
103,0.0,1.0
104,0.008861051,0.0
105,0.00046570358,0.54898405
106,0.0016592899,0.032742023
107,0.0,1.0
108,0.0035298027,5.4836273e-06
109,6.237864e-05,0.9360218
110,0.0,1.0
111,-2.5524334e-05,0.9737977
112,0.008373594,0.0
113,0.0116405245,0.0
114,-0.0005975419,0.44193053
115,-0.0007774298,0.31710577
116,0.0,1.0
117,0.004735777,0.0
118,0.0005420956,0.4854355
119,0.0017957329,0.020843029
120,0.00614298,0.0
121,0.0,1.0
122,-0.0004968157,0.5226152
123,0.01676558,0.0
124,0.0015417578,0.047257185
125,0.00011371716,0.88365686
126,0.0015865156,0.04119277
127,0.0039467365,4.7683716e-07
128,0.0015740457,0.04281223
129,0.0018549036,0.016988516
130,-1.80567e-06,0.99814606
131,0.0014534055,0.06144321
132,0.0003299083,0.67117405
133,0.017105682,0.0
134,0.0,1.0
135,0.0023008198,0.0030686855
136,0.017179396,0.0
137,0.0019573418,0.011776209
138,-0.006035953,0.0
139,0.0058617424,0.0
140,0.0023995747,0.0020160675
141,-0.0001573357,0.83955324
142,-1.5751672e-05,0.9838282
143,-0.0060923025,0.0
144,0.002964356,0.00013637543
145,0.00032857977,0.672421
146,0.0010648852,0.17058349
147,9.313438e-05,0.9046031
148,0.0007380064,0.34226894
149,0.0,1.0
150,-0.011104112,0.0
151,0.000895293,0.24928248
152,-0.0017193259,0.026932955
153,0.0031890508,4.0650368e-05
154,-0.0006359267,0.41316748
155,0.00025129472,0.74641156
156,0.002073224,0.0076327324
157,-5.9439837e-05,0.93902993
158,0.0,1.0
159,0.0018565983,0.016888022
160,0.0045884866,0.0
161,0.0,1.0
162,0.0009845753,0.20516062
163,0.0022687817,0.0035054684
164,0.003130379,5.6147575e-05
165,0.003272151,2.5510788e-05
166,0.0017332872,0.025717258
167,0.00081885565,0.29200578
168,-0.00012980548,0.8673401
169,0.001289321,0.09708691
170,0.00025321523,0.7445409
171,0.00047862093,0.5379567
172,0.0052451394,0.0
173,0.005466078,0.0
174,0.0,1.0
175,0.0016495971,0.0337739
176,0.0009965952,0.1996839
177,0.0,1.0
178,0.003380716,1.3589859e-05
179,0.00019325699,0.8036008
180,-0.00084786635,0.27524483
181,0.00055391,0.4759755
182,-0.0002408978,0.7565644
183,0.0022067495,0.0045152903
184,0.0026389887,0.0006839037
185,0.0,1.0
186,0.0123433275,0.0
187,0.0018300959,0.01852107
188,0.001092943,0.15959454
189,0.00062763225,0.4192872
190,0.0,1.0
191,0.0024690796,0.0014865398
192,0.003959237,4.7683716e-07
193,-0.00044967426,0.56282115
194,-0.0022540255,0.0037250519
195,-0.000853413,0.27211666
196,0.009044177,0.0
197,0.0015695216,0.043412924
198,-0.00032097072,0.6795802
199,0.0,1.0
200,0.0007834597,0.31336677
201,0.008632024,0.0
202,6.255215e-05,0.9358442
203,0.0015914984,0.040560246
204,0.0038141983,8.34465e-07
205,0.0,1.0
206,0.022045469,0.0
207,0.0028370572,0.00026130676
208,0.00861947,0.0
209,0.0058574337,0.0
210,0.010884228,0.0
211,-0.0001656366,0.8312124
212,0.0032838136,2.3841858e-05
213,0.001145281,0.14053869
214,0.0028920847,0.00019788742
215,0.00015423977,0.8426688
216,0.0052274554,0.0
217,0.0024039708,0.0019780397
218,-0.0007519525,0.33322513
219,-0.00040410832,0.6030493
220,-0.0023349226,0.0026587248
221,0.006063815,0.0
222,0.0009039842,0.24471688
223,0.00012810207,0.86906505
224,0.0009885918,0.2033186
225,-0.00058571895,0.45101547
226,-0.0006582668,0.39695048
227,0.0,1.0
228,0.0,1.0
229,0.0028586742,0.00023448467
230,0.0022445903,0.0038719177
231,-0.002974512,0.00012922287
232,0.004895965,0.0
233,-0.0010743799,0.16680312
234,0.0014281903,0.06608522
