,string,mean,max,min,median,geo_mean,count,n_over_2e-06,ratio_over_2e-06,n_over_4e-06,ratio_over_4e-06,n_over_6e-06,ratio_over_6e-06,n_over_8e-06,ratio_over_8e-06,n_over_9.999999999999999e-06,ratio_over_9.999999999999999e-06,n_over_1.1999999999999999e-05,ratio_over_1.1999999999999999e-05,n_over_1.4e-05,ratio_over_1.4e-05,n_over_1.6e-05,ratio_over_1.6e-05,n_over_1.8e-05,ratio_over_1.8e-05,n_over_2e-05,ratio_over_2e-05
773, “,4.522932125145985e-06,0.00018575030844658613,7.4300863239784576e-09,3.4682454952417174e-06,3.5655007541312994e-06,9241,5073,0.5489665620603831,2437,0.2637160480467482,1087,0.1176279623417379,574,0.062114489773834,355,0.03841575587057678,237,0.025646575045990695,162,0.017530570284601234,108,0.011687046856400823,83,0.00898171193593767,64,0.0069256573963856725
273, of,8.391897478219063e-06,0.0003559692995622754,1.633128701716835e-11,5.71281725569861e-06,4.805251145750788e-06,162805,114513,0.7033752034642671,89053,0.5469918000061423,60141,0.3694051165504745,39720,0.24397285095666596,27087,0.16637695402475353,19478,0.11964006019471146,14772,0.09073431405669359,11694,0.0718282608028009,9560,0.05872055526550168,8007,0.049181536193605845
253, the,8.938637663242304e-06,0.0006244088290259242,-3.799245206631552e-12,6.853006652818294e-06,,282595,180012,0.6369964082874785,163468,0.5784532635043083,117716,0.41655372529591816,74608,0.2640103328084361,47336,0.16750473292167237,31400,0.11111307701834781,21819,0.07720943399564748,16075,0.05688352589394717,12405,0.04389674268829951,9871,0.03492984660025832
308, T,1.9186559695970748e-05,0.0002141662989743054,3.841355677991487e-09,1.1893906048499048e-05,1.0992576063700011e-05,5680,4260,0.75,4053,0.713556338028169,3697,0.6508802816901409,3197,0.5628521126760564,2722,0.4792253521126761,2285,0.4022887323943662,1961,0.34524647887323945,1669,0.2938380281690141,1454,0.25598591549295774,1290,0.22711267605633803
505,ast,2.176345650350292e-05,0.00013973956811241806,5.3049994619414065e-08,1.2396583770168945e-05,1.1472250506159229e-05,821,633,0.7710109622411693,574,0.6991473812423873,507,0.6175395858708892,456,0.5554202192448234,405,0.4933008526187576,352,0.4287454323995128,322,0.392204628501827,290,0.35322777101096225,265,0.3227771010962241,238,0.28989037758830694
668,”,7.668505235109166e-06,6.516877328976989e-05,8.224692926717125e-09,6.327510618575616e-06,6.262775005427697e-06,4644,3581,0.7711024978466839,2945,0.634151593453919,1994,0.42937123169681307,1264,0.2721791559000861,803,0.17291128337639966,509,0.10960378983634797,339,0.07299741602067183,237,0.05103359173126615,162,0.03488372093023256,114,0.02454780361757106
327, on,6.489805316479099e-06,0.00033112437813542783,1.2046681707733597e-10,4.8620156576362206e-06,4.288655603312234e-06,48920,36586,0.7478740801308258,25290,0.5169664758789861,14548,0.2973834832379395,8340,0.1704824202780049,5012,0.10245298446443173,3251,0.06645543744889616,2260,0.046197874080130825,1672,0.034178250204415374,1294,0.026451349141455437,1059,0.021647587898609974
10469, Android,9.397626336833247e-06,6.564712384715676e-05,3.4790997460731887e-07,7.510002888011513e-06,7.383935361439361e-06,619,485,0.7835218093699515,454,0.7334410339256866,348,0.5621970920840065,234,0.3780290791599354,171,0.2762520193861066,120,0.1938610662358643,99,0.15993537964458804,79,0.12762520193861066,62,0.10016155088852989,28,0.045234248788368334
4384, web,1.0449645204099208e-05,0.00018593172717373818,3.631457445862907e-08,8.017028449103236e-06,7.792501619546108e-06,1285,1095,0.8521400778210116,979,0.7618677042801556,790,0.6147859922178989,575,0.4474708171206226,418,0.32529182879377433,310,0.24124513618677043,219,0.17042801556420234,162,0.12607003891050583,127,0.09883268482490272,100,0.07782101167315175
2987, works,6.1564624068356315e-06,9.908485662890598e-05,1.544479744097771e-08,4.501137027546065e-06,4.550266404402318e-06,1077,897,0.8328690807799443,569,0.5283194057567316,315,0.2924791086350975,174,0.1615598885793872,110,0.1021355617455896,86,0.07985143918291551,65,0.060352831940575676,45,0.04178272980501393,29,0.02692664809656453,27,0.025069637883008356
