,string,mean,max,min,median,geo_mean,count,n_over_2e-06,ratio_over_2e-06,n_over_4e-06,ratio_over_4e-06,n_over_6e-06,ratio_over_6e-06,n_over_8e-06,ratio_over_8e-06,n_over_9.999999999999999e-06,ratio_over_9.999999999999999e-06,n_over_1.1999999999999999e-05,ratio_over_1.1999999999999999e-05,n_over_1.4e-05,ratio_over_1.4e-05,n_over_1.6e-05,ratio_over_1.6e-05,n_over_1.8e-05,ratio_over_1.8e-05,n_over_2e-05,ratio_over_2e-05
0,<|endoftext|>,1.4614422980230302e-05,1.4614422980230302e-05,1.4614422980230302e-05,1.4614422980230302e-05,1.4614422980230288e-05,80000,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,0,0.0,0,0.0,0,0.0
1147,It,3.582942386607523e-06,0.00012558662274386734,2.1842655684167767e-08,1.623614593881939e-06,1.934667138043615e-06,3755,1415,0.37683089214380827,739,0.19680426098535286,593,0.15792276964047935,530,0.1411451398135819,125,0.033288948069241014,107,0.028495339547270307,89,0.0237017310252996,78,0.02077230359520639,69,0.01837549933422104,57,0.0151797603195739
310, is,5.9441347536887646e-06,0.0025546778924763203,3.49265928678566e-12,2.973845994347357e-06,2.8252552374640504e-06,73740,43067,0.5840385136967724,20621,0.2796446975861134,11017,0.14940330892324383,7118,0.09652834282614592,5091,0.06903986981285598,3969,0.05382424735557364,3253,0.044114456197450504,2714,0.03680499050718741,2376,0.0322213181448332,2074,0.02812584757255221
2218, done,6.3281502940202205e-06,0.000149420797242783,4.050051529702614e-07,4.044036131745088e-06,4.358895463019573e-06,1296,1030,0.7947530864197531,600,0.46296296296296297,351,0.2708333333333333,238,0.18364197530864199,164,0.12654320987654322,123,0.09490740740740741,94,0.07253086419753087,81,0.0625,68,0.05246913580246913,52,0.040123456790123455
13,",",8.515664340729332e-06,0.003941469360142946,2.2671493155046463e-11,4.063082997163292e-06,3.97838778047425e-06,309939,200674,0.6474628878585786,123856,0.3996141176166923,76035,0.24532246667892715,51714,0.1668521870432569,38216,0.12330168194386637,30168,0.09733528210389786,24795,0.07999961282704016,21022,0.06782624968138892,18108,0.058424399639929146,15970,0.05152626807210451
285, and,1.011197222481466e-05,0.00402423832565546,2.876018520558965e-11,5.293500407788088e-06,5.423258976613031e-06,156779,107517,0.6857869995343764,78107,0.49819810051091024,48378,0.30857449020595873,31333,0.1998545723598186,21859,0.13942556082128346,16266,0.10375114013994222,12861,0.08203267019179865,10650,0.06793001613736534,9012,0.05748218830328041,7787,0.04966864184616562
15,.,1.4113520974916688e-05,0.003553853603079915,-8.155134011665621e-13,2.5960900984500768e-06,,351420,179251,0.510076262022651,111634,0.3176654715155654,87658,0.24943941722155824,74470,0.21191167264242217,66126,0.1881680040976609,60256,0.17146434465881283,55717,0.15854817597177168,52224,0.14860850264640602,49310,0.14031643048204429,46917,0.13350691480280008
1422, You,7.636903137978484e-06,0.0002241462207166478,3.824781810712885e-11,2.146423298654554e-06,1.0339767780083043e-06,5263,2522,0.47919437583127494,1555,0.29545886376591296,1112,0.21128633859015772,864,0.16416492494774843,724,0.1375641269238077,468,0.0889226676800304,410,0.0779023370701121,378,0.07182215466463994,336,0.06384191525745772,313,0.0594717841535246
476, can,7.701481568519008e-06,0.0018232200527563691,1.2203599242255336e-09,3.340896796544257e-06,2.98519725047358e-06,18185,12506,0.687709650811108,6260,0.3442397580423426,3223,0.17723398405279076,2071,0.11388507011273027,1489,0.08188067088259554,1200,0.06598845202089634,1022,0.056200164971130055,890,0.048941435248831454,781,0.042947484190266706,690,0.0379433599120154
1132, play,8.224728896760382e-06,0.0002744414668995887,5.788443502297014e-08,4.992610683984822e-06,5.422684500644304e-06,1878,1468,0.7816826411075612,993,0.5287539936102237,652,0.34717784877529284,457,0.24334398296059637,328,0.17465388711395102,252,0.134185303514377,200,0.10649627263045794,168,0.08945686900958466,140,0.07454739084132056,124,0.06602768903088392
