,string,mean,max,min,median,geo_mean,count,n_over_2e-06,ratio_over_2e-06,n_over_4e-06,ratio_over_4e-06,n_over_6e-06,ratio_over_6e-06,n_over_8e-06,ratio_over_8e-06,n_over_9.999999999999999e-06,ratio_over_9.999999999999999e-06,n_over_1.1999999999999999e-05,ratio_over_1.1999999999999999e-05,n_over_1.4e-05,ratio_over_1.4e-05,n_over_1.6e-05,ratio_over_1.6e-05,n_over_1.8e-05,ratio_over_1.8e-05,n_over_2e-05,ratio_over_2e-05
0,<|endoftext|>,6.483370088972151e-05,6.483370088972151e-05,6.483370088972151e-05,6.483370088972151e-05,6.483370088972147e-05,80000,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125,3130,0.039125
1147,It,5.028819300014541e-06,0.00017124024452641606,4.0349174001974575e-10,5.228099553278298e-07,7.916062117292204e-07,3755,643,0.17123834886817577,518,0.13794940079893475,488,0.1299600532623169,466,0.12410119840213049,453,0.12063914780292943,423,0.11264980026631158,419,0.11158455392809587,412,0.10972037283621837,410,0.10918774966711052,410,0.10918774966711052
310, is,3.11077304349384e-06,0.0011093828361481428,4.267851697048464e-12,9.173754165203718e-07,8.699713952532415e-07,73740,13063,0.17714944399240576,6536,0.08863574721996204,4311,0.058462164361269324,3063,0.041537835638730675,2215,0.030037971250339027,1580,0.02142663411988066,1218,0.016517493897477625,1003,0.01360184431787361,854,0.011581231353403852,759,0.010292921074043938
2218, done,1.7021841687713547e-06,9.213943121721968e-05,1.7912165972688854e-08,6.613833818391868e-07,7.844523291613021e-07,1296,182,0.1404320987654321,88,0.06790123456790123,49,0.03780864197530864,36,0.027777777777777776,26,0.020061728395061727,21,0.016203703703703703,19,0.014660493827160493,14,0.010802469135802469,14,0.010802469135802469,12,0.009259259259259259
13,",",4.087203802267986e-06,0.0005339893978089094,4.01654473569657e-11,1.5337988088504062e-06,1.499080833359198e-06,309939,96866,0.3125324660659033,47331,0.1527106946850832,30278,0.09769019065041831,22160,0.07149793991720951,17309,0.05584647301565792,13713,0.04424418998577139,11537,0.0372234536473306,9776,0.03154169046167149,8508,0.027450562852690367,7528,0.02428865034732641
285, and,4.116261516605043e-06,0.0005250417743809521,1.34872312970713e-11,1.638841979456629e-06,1.6781529312965146e-06,156779,47379,0.3022024633401157,21918,0.1398018867322792,13656,0.08710350238233437,9700,0.06187053112980693,7277,0.046415655157897424,5741,0.03661842466146614,4649,0.029653206105409526,3881,0.024754590857193885,3333,0.02125922476862335,2881,0.018376185586079768
15,.,3.2099150585042524e-06,0.0008996131364256144,-2.703638528334107e-12,8.933885169426503e-07,,351420,71866,0.20450173581469466,37084,0.10552615104433441,24187,0.06882647544249047,17942,0.051055716806100965,14238,0.040515622332252005,11884,0.0338170849695521,10168,0.02893403904160264,8869,0.025237607421319218,7819,0.02224972966820329,6995,0.019904957031472312
1422, You,2.8229781497849337e-06,0.0013251063646748662,5.92469059923495e-11,4.4912314933753805e-07,2.5430637822247537e-07,5263,717,0.13623408702261067,476,0.09044271328139844,373,0.07087212616378491,323,0.061371841155234655,273,0.0518715561466844,230,0.04370131103933118,191,0.03629108873266198,160,0.03040091202736082,139,0.026410792323769715,128,0.024320729621888658
476, can,2.101725310249258e-06,0.0014617296401411295,2.7473068264782796e-10,7.82741381044616e-07,7.483857361718928e-07,18185,2457,0.13511135551278528,1145,0.06296398130327192,770,0.04234259004674182,554,0.030464668682980478,436,0.023975804234259004,353,0.01941160296948034,282,0.01550728622491064,228,0.012537805883970306,199,0.010943084960131976,182,0.010008248556502612
1132, play,2.8236411075281353e-06,0.00021986523643136024,9.690248603533291e-09,1.2871485068899347e-06,1.3834817214595717e-06,1878,501,0.26677316293929715,216,0.11501597444089456,121,0.06443024494142705,79,0.04206602768903089,62,0.03301384451544196,48,0.025559105431309903,39,0.020766773162939296,34,0.01810436634717785,30,0.01597444089456869,28,0.014909478168264111
773, “,1.92864617546521e-06,0.0001530964218545705,2.2601912008646252e-10,1.1044063512599678e-06,1.1816766071781116e-06,9241,1497,0.16199545503733362,578,0.06254734336110811,330,0.035710420950113626,178,0.019261984633697653,108,0.011687046856400823,71,0.007683151174115356,48,0.005194243047289254,37,0.004003895682285467,25,0.0027053349204631534,21,0.0022724813331890486
273, of,4.341411511955377e-06,0.0004933768650516868,9.23836632193975e-11,2.1835503503098153e-06,1.9730723850875645e-06,162805,68680,0.42185436565216056,34837,0.2139799146217868,21562,0.13244064985719112,15049,0.092435736003194,11145,0.06845612849728203,8583,0.05271951107152729,6796,0.04174318970547588,5405,0.033199226067995455,4395,0.02699548539664015,3629,0.02229047019440435
253, the,4.607074064494181e-06,0.0017912591574713588,-1.3336289537979606e-12,2.2396166059479583e-06,,282595,108803,0.3850138891346273,47947,0.16966683770059626,27731,0.09812983244572622,18779,0.0664519895964189,13672,0.048380190732320104,10140,0.03588173888426901,7982,0.02824536881402714,6472,0.022902032944673474,5349,0.01892814805640581,4481,0.015856614589783966
308, T,8.95483310046382e-06,0.00027097208658233285,4.0277163548818606e-11,2.0676341137004783e-06,1.9586948100519163e-06,5680,2355,0.414612676056338,1532,0.2697183098591549,1259,0.2216549295774648,1103,0.1941901408450704,1024,0.18028169014084508,954,0.16795774647887324,889,0.15651408450704227,814,0.14330985915492958,735,0.12940140845070422,666,0.11725352112676056
505,ast,1.2829051838077398e-05,0.00019745122699532658,4.046732046680823e-11,4.531166041488177e-06,3.870229658811883e-06,821,490,0.5968331303288672,365,0.4445797807551766,292,0.3556638246041413,232,0.28258221680876977,200,0.243605359317905,180,0.2192448233861145,159,0.19366626065773446,144,0.1753958587088916,138,0.16808769792935443,123,0.14981729598051158
