,r,p
0,-0.009192658,0.0
1,-0.0075905644,0.0
2,-0.0065632705,0.0
3,-0.007905366,0.0
4,-0.00262434,0.0007324219
5,0.01176746,0.0
6,-8.586263e-05,0.91201997
7,-0.007124069,0.0
8,-0.004372512,1.1920929e-07
9,-0.004732181,0.0
10,0.011000426,0.0
11,0.014211398,0.0
12,-0.00041830447,0.5903778
13,0.0013808727,0.07557559
14,-0.0021104906,0.0066103935
15,0.0066993046,0.0
16,-0.00051497325,0.50753236
17,-0.0034241097,1.04904175e-05
18,0.0007010804,0.36696434
19,0.0038000208,9.536743e-07
20,0.010535328,0.0
21,-0.013010587,0.0
22,-0.010102434,0.0
23,0.0042144903,1.1920929e-07
24,-0.008826744,0.0
25,0.01875534,0.0
26,-0.037119776,0.0
27,0.06366854,0.0
28,-0.009424889,0.0
29,-0.0042028367,1.1920929e-07
30,0.0017514402,0.02420783
31,-0.0136836795,0.0
32,5.858456e-05,0.9399055
33,-0.0035266553,5.6028366e-06
34,0.00830852,0.0
35,0.002618695,0.0007522106
36,-0.0042346395,0.0
37,0.005050609,0.0
38,-0.006918304,0.0
39,-0.0006355963,0.41341043
40,0.010392789,0.0
41,-0.018647794,0.0
42,-0.012482136,0.0
43,-0.013351396,0.0
44,-0.0011821863,0.12819004
45,0.0062828846,0.0
46,-0.0032397658,3.0517578e-05
47,-0.009919265,0.0
48,-0.0032311194,3.2186508e-05
49,0.00452536,0.0
50,0.011751101,0.0
51,0.009923051,0.0
52,1.4462755e-05,0.9851513
53,-0.011238396,0.0
54,-0.0039152256,4.7683716e-07
55,-0.014493022,0.0
56,0.0047058496,0.0
57,0.006315457,0.0
58,0.013451072,0.0
59,0.0047406154,0.0
60,-0.008000924,0.0
61,-0.0010440284,0.17911267
62,-0.00217808,0.0050656796
63,0.021308541,0.0
64,-0.003811962,9.536743e-07
65,0.004095896,2.3841858e-07
66,-0.008740259,0.0
67,-0.0010268175,0.18638659
68,-0.007254275,0.0
69,-0.00544339,0.0
70,-0.009337621,0.0
71,-0.0051310305,0.0
72,-0.010910652,0.0
73,0.003182303,4.220009e-05
74,-0.0012960521,0.09535456
75,-0.0020575917,0.00810194
76,-0.0033310158,1.8119812e-05
77,-0.0012107552,0.119223475
78,0.00020562534,0.7913132
79,0.002733674,0.0004351139
80,0.018668251,0.0
81,-0.0013031734,0.09354854
82,-0.0046526077,0.0
83,-0.0020546175,0.008194208
84,0.005707275,0.0
85,-0.0009125963,0.24025083
86,-0.008284861,0.0
87,-0.0045142197,0.0
88,0.0075907507,0.0
89,0.0027150405,0.0004762411
90,0.014642808,0.0
91,-0.0052587413,0.0
92,0.00055486866,0.47521234
93,-0.015933556,0.0
94,-0.007861843,0.0
95,-0.0064989314,0.0
96,-0.0020593156,0.008049011
97,-0.008562007,0.0
98,0.0010785244,0.16517282
99,0.05111973,0.0
100,-0.0011185359,0.15004551
101,-0.013499721,0.0
102,-0.012898536,0.0
103,-0.009352942,0.0
104,0.00033786282,0.6637269
105,-0.0020591794,0.008053303
106,0.004767203,0.0
107,-0.004805105,0.0
108,0.025358131,0.0
109,-0.0031286485,5.6743622e-05
110,0.021852689,0.0
111,-0.008504719,0.0
112,0.0066900537,0.0
113,-0.0014281373,0.06609523
114,0.0007190011,0.35484362
115,0.0024242098,0.001811266
116,0.00435545,0.0
117,-0.011732526,0.0
118,-0.0027572117,0.00038802624
119,0.003200104,3.8146973e-05
120,-0.0045918915,0.0
121,-0.0028396894,0.0002579689
122,0.023330882,0.0
123,-0.018332958,0.0
124,-0.003906447,4.7683716e-07
