,r,p
0,-0.0013742924,0.0769794
1,0.0007484161,0.3355037
2,0.011049309,0.0
3,-0.0070512313,0.0
4,-0.0012605841,0.104768515
5,0.00496967,0.0
6,-0.002877167,0.00021350384
7,0.034079086,0.0
8,-0.00079181464,0.3082342
9,-0.0042481786,1.1920929e-07
10,-0.0025597455,0.0009877682
11,0.0006068258,0.4348706
12,0.0022382415,0.0039737225
13,0.006890936,0.0
14,-0.0064385384,0.0
15,-0.0055015185,0.0
16,0.0049078013,0.0
17,-0.0024126815,0.0019046068
18,0.0014947116,0.054424047
19,-0.0027693745,0.0003656149
20,-0.001247536,0.10841191
21,0.001632282,0.03568673
22,-0.012666717,0.0
23,-0.007668568,0.0
24,-0.014601855,0.0
25,0.0064262785,0.0
26,0.006989525,0.0
27,-0.0009906888,0.20236158
28,0.0001457038,0.8512713
29,-0.0034198775,1.0728836e-05
30,-0.0033965586,1.2397766e-05
31,0.0030279215,9.763241e-05
32,0.0029927776,0.00011754036
33,-0.000819823,0.29143608
34,0.014263308,0.0
35,-0.00079888315,0.30393553
36,-0.017046757,0.0
37,-0.00062322343,0.42256165
38,4.0451276e-05,0.9584856
39,0.0134904515,0.0
40,0.016026251,0.0
41,0.0024392945,0.0016955137
42,-0.003884177,7.1525574e-07
43,-0.00011572876,0.88161385
44,0.0065843887,0.0
45,0.008781523,0.0
46,-0.0006676039,0.39028788
47,-0.0029602265,0.00013935566
48,0.035510745,0.0
49,0.019375693,0.0
50,-0.008371538,0.0
51,-0.006633914,0.0
52,-0.00019139523,0.80545473
53,-0.0002518817,0.7458397
54,-0.0009150126,0.23900819
55,0.03679365,0.0
56,0.0041553257,1.1920929e-07
57,-0.0077265054,0.0
58,-0.004863609,0.0
59,-0.001165493,0.13366699
60,0.00029066482,0.7083765
61,-0.0047299205,0.0
62,0.002390318,0.002098322
63,-0.0012382756,0.111058
64,-0.019154694,0.0
65,-0.001304618,0.09318566
66,0.009917206,0.0
67,0.022310836,0.0
68,-0.0095545575,0.0
69,-0.0030255518,9.88245e-05
70,0.015811862,0.0
71,0.004602127,0.0
72,-0.0033677851,1.4543533e-05
73,-0.014534775,0.0
74,0.010409558,0.0
75,0.0060661077,0.0
76,-0.00042479212,0.5846281
77,-0.0016961639,0.029059172
78,-0.008392693,0.0
79,-0.0001350635,0.8620193
80,0.002739539,0.00042295456
81,-0.0026268717,0.0007238388
82,0.023686226,0.0
83,-0.0022598421,0.0036369562
84,0.011313087,0.0
85,0.0024776019,0.0014313459
86,0.005397747,0.0
87,0.011469394,0.0
88,0.0011080476,0.15390468
89,-0.0064167064,0.0
90,-0.0042848554,0.0
91,-0.0087602995,0.0
92,0.005219858,0.0
93,0.004622091,0.0
94,-0.0021417707,0.0058493614
95,-0.005519946,0.0
96,0.0011483872,0.13946533
97,0.009463317,0.0
98,-0.0020286085,0.009041309
99,-0.0029487165,0.00014781952
100,0.0022820702,0.003317833
101,0.010238565,0.0
102,-0.00012753958,0.86963487
103,0.0075856037,0.0
104,0.007338866,0.0
105,0.0033629334,1.50203705e-05
106,-0.0012133336,0.11843896
107,0.017023448,0.0
108,-0.006620699,0.0
109,-0.003506073,6.4373016e-06
110,0.002692237,0.0005313158
111,0.0007084897,0.36192214
112,-0.0034398728,9.536743e-06
113,-0.00091719907,0.23788762
114,-0.0057182154,0.0
115,0.0014798519,0.056867838
116,-0.0032384996,3.0755997e-05
117,-0.0005012588,0.51890326
118,-9.374901e-05,0.9039767
119,0.0050423904,0.0
120,-0.0013351565,0.08577347
121,0.023394281,0.0
122,0.001340125,0.08461404
123,-0.0006777067,0.38315606
124,0.0016645392,0.032194376
125,0.0013324564,0.08640909
126,-0.00022503776,0.77213275
127,-6.6783694e-05,0.9315145
128,0.006294772,0.0
129,-0.00055176613,0.47768474
130,0.039075248,0.0
131,-0.0009016506,0.24593687
132,0.030355634,0.0
133,-0.00058473827,0.45177376
134,-0.0043426175,0.0
135,0.038348835,0.0
136,0.001293641,0.09597206
137,0.009983537,0.0
138,0.00071456365,0.35782123
139,0.0058635282,0.0
140,0.0014794195,0.056940317
141,0.0029108492,0.00017976761
142,0.00190917,0.014018536
143,0.03398836,0.0
144,-0.0071202363,0.0
145,0.060349673,0.0
146,0.02463764,0.0
147,-0.0001534725,0.84344125
148,-0.0020972546,0.0069584846
149,0.0027057086,0.0004980564
150,-0.0038784638,7.1525574e-07
151,0.0054546343,0.0
152,-0.00053195364,0.49363685
153,-0.003154841,4.9114227e-05
154,-0.00043706925,0.57381916
155,0.0015373798,0.047888875
156,-0.00047404532,0.5418501
157,0.0009753709,0.20942783
158,0.003592823,3.8146973e-06
159,-0.0019519533,0.012010336
160,0.0034504253,8.940697e-06
161,0.0013073883,0.09249258
162,-0.011663023,0.0
163,-0.0056475606,0.0
164,0.012174208,0.0
165,0.00065410655,0.39994097
166,0.008373852,0.0
167,-0.00835131,0.0
168,-6.666196e-05,0.93163896
169,0.003972054,3.5762787e-07
170,-0.01244955,0.0
171,-0.0035993431,3.5762787e-06
172,0.020933283,0.0
173,-0.0063058655,0.0
174,-0.009184833,0.0
175,-0.0023875982,0.0021231174
176,0.0055974587,0.0
177,-0.0057473797,0.0
178,-0.008214361,0.0
179,-0.0015140605,0.05137372
180,0.004248825,1.1920929e-07
181,0.00057968387,0.45569336
182,0.012763152,0.0
183,-0.007114969,0.0
184,-0.00569728,0.0
185,0.006126653,0.0
186,0.008089663,0.0
187,0.0062554493,0.0
188,0.0031774917,4.339218e-05
189,-0.0074129286,0.0
190,-0.0023727103,0.002263546
191,0.0074973004,0.0
192,0.018158657,0.0
193,-0.015225621,0.0
194,-0.0053264634,0.0
195,0.0016410297,0.034709215
196,-0.0015484807,0.046301007
197,-0.012288242,0.0
198,-0.00234662,0.002530098
199,0.001320493,0.08927083
200,-0.00923115,0.0
201,-0.001051791,0.17590189
202,0.0049460665,0.0
203,0.00056750706,0.4652145
